period,close_date,business_days_to_close,manual_je_count,automated_je_count,errors_caught,total_tasks,tasks_on_time,automation_hours_saved
2023-07,2023-08-06,5,132,0,5,42,30,0.0
2023-08,2023-09-08,7,143,0,3,42,31,0.0
2023-09,2023-10-06,5,149,0,7,42,33,0.0
2023-10,2023-11-06,5,147,0,6,42,30,0.0
2023-11,2023-12-07,6,130,0,4,42,31,0.0
2023-12,2024-01-06,5,149,0,6,42,36,0.0
2024-01,2024-02-07,6,129,21,7,42,34,3.1
2024-02,2024-03-06,5,106,42,4,42,35,6.3
2024-03,2024-04-06,5,80,60,3,42,36,9.4
2024-04,2024-05-06,5,61,80,2,42,38,12.6
2024-05,2024-06-04,3,44,108,1,42,39,15.7
2024-06,2024-07-05,4,22,128,2,42,40,18.9
2024-07,2024-08-04,3,15,132,6,42,41,18.6
2024-08,2024-09-04,3,10,149,5,42,42,19.6
2024-09,2024-10-05,4,10,138,7,42,41,20.2
2024-10,2024-11-04,3,17,140,6,42,42,21.4
2024-11,2024-12-05,4,19,139,7,42,40,21.8
2024-12,2025-01-04,3,14,131,6,42,42,18.2
